Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,duong_vao_null_flag,Đường_Từ_Địa_Chỉ,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,Khoảng giá
82.0,3.0,4.0,Sổ hồng,Cơ bản,10.8198627626357,106.702744157471,Mặt tiền,Quận Bình Thạnh,Phường 13,48.2,0,Đường Nơ Trang Long,0.0,0.0,0.0,99.93775933609959,9.0,9.5
59.0,4.0,4.0,Sổ hồng,Trống / Nhà thô,10.7914516544104,106.675114022052,Chưa xác định,Quận Phú Nhuận,Phường 11,55.3,0,Đường Huỳnh Văn Bánh,0.0,0.0,0.0,100.0,11.0,8.3
96.0,3.0,10.533333333333333,Sổ hồng,Đầy đủ,10.7648822612813,106.694973154272,Mặt tiền,Quận 1,Phường Cầu Ông Lãnh,622.6,1,Đường Đề Thám,95.74204946996467,0.0,0.0,4.256344362351429,8.0,22.0
66.0,2.0,4.0,Sổ hồng,Trống / Nhà thô,10.7906584336231,106.573007777838,Chưa xác định,Huyện Bình Chánh,Xã Vĩnh Lộc B,,0,Đường Liên khu 4-5,,,,,4.0,4.2
75.0,3.0,10.0,Sổ hồng,Trống / Nhà thô,21.02894860978742,105.85244722590336,Chưa xác định,Quận 9,Phường Phú Hữu,,1,Đường Bưng Ông Thoàn,,,,,6.0,10.4
56.0,2.0,5.475,Sổ hồng,Trống / Nhà thô,10.852717664059,106.72001770515,Chưa xác định,Thành phố Thủ Đức,Phường Hiệp Bình Phước,,1,Đường Số 4,,,,,6.0,4.5
75.0,6.0,8.0,Sổ hồng,Trống / Nhà thô,10.8304852697842,106.632837205986,Mặt tiền,Quận Tân Bình,Phường 15,15644.2,0,Đường Phan Huy Ích,25.026974853300267,0.0,74.97283338233977,0.0,12.0,11.5
86.0,4.0,11.3,Sổ hồng,Cao cấp,10.8056171170478,106.604676223204,Chưa xác định,Quận Bình Tân,Phường Bình Hưng Hòa,499.3,1,Đường 2,0.0,0.0,0.0,100.0,8.0,6.8
64.0,4.0,6.0,Sổ hồng,Đầy đủ,10.749210449716,106.710085550474,Mặt tiền,Quận 7,Phường Tân Kiểng,23439.5,0,Đường Lâm Văn Bền,13.199513641502591,33.15002453124,0.0,53.65037650120523,10.0,17.9
60.0,5.0,10.8,Sổ hồng,Trống / Nhà thô,10.7760854482495,106.610181773413,Mặt tiền,Quận Bình Tân,Phường Bình Hưng Hòa B,3458.7,1,Đường Lê Văn Quới,8.181397634949548,0.0,0.0,91.81831323907826,13.0,8.3
75.0,3.0,12.0,Sổ hồng,Cơ bản,10.785036005499263,106.7901994998357,Mặt tiền,Quận 9,Phường Phú Hữu,,0,Đường Vành Đai 2,,,,,7.0,8.15
144.0,5.0,8.0,Sổ hồng,Đầy đủ,10.7344114717191,106.657580311257,Chưa xác định,Quận 8,Phường 5,9370.4,0,Phố Tạ Quang Bửu,42.10716725006404,19.59041236233245,0.0,38.301993511482976,43.0,27.5
49.0,4.0,8.0,Sổ hồng,Trống / Nhà thô,10.8157203014238,106.695291058618,Hẻm ô tô,Quận Bình Thạnh,Phường 11,736.3,0,Đường Phan Văn Trị,93.2106478337634,0.0,0.0,6.787994024174929,14.0,10.7
90.0,4.0,8.0,Sổ hồng,Đầy đủ,10.8588749366556,106.777894988391,Chưa xác định,Thành phố Thủ Đức,Phường Linh Trung,,0,Đường Lê Văn Chí,,,,,9.0,11.0
123.0,2.0,7.0,Sổ hồng,Trống / Nhà thô,10.7460756626888,106.705656722188,Mặt tiền,Quận 7,Phường Tân Hưng,1338.7,0,Đường Số 2,99.75797415403002,0.0,0.0,0.24277283932173005,21.0,15.5
100.0,4.0,12.0,Sổ hồng,Trống / Nhà thô,10.751328770973,106.60867625357,Chưa xác định,Quận Bình Tân,Phường Bình Trị Đông B,902660.3,0,Đường 32,0.48759871238382807,0.0,0.0,0.0,11.0,19.5
300.0,2.0,9.4,Sổ hồng,Trống / Nhà thô,10.7591359971385,106.687555768279,Mặt tiền,Quận 1,Phường Cầu Kho,5525.2,1,Đường Trần Hưng Đạo,92.2766596684283,0.10189676391804822,0.0,7.62053862303627,40.0,160.0
46.0,4.0,4.666666666666666,Sổ hồng,Trống / Nhà thô,10.7879833771044,106.678243361849,Hẻm ô tô,Quận 3,Phường 13,908.1,1,Đường Lê Văn Sỹ,97.96608303050324,0.0,0.0,2.0328157691884154,9.0,12.8
62.0,4.0,6.5,Sổ hồng,Đầy đủ,10.8198293808424,106.702951132345,Chưa xác định,Quận Bình Thạnh,Phường 13,140.5,1,Đường Nơ Trang Long,24.106761565836297,0.0,0.0,75.90747330960855,8.0,10.8
61.0,4.0,15.0,Sổ đỏ,Trống / Nhà thô,10.7266131439549,106.733946717697,Hẻm ô tô,Quận 7,Phường Phú Thuận,493.7,0,Đường Huỳnh Tấn Phát,9.586793599351832,0.0,0.0,90.40307879278915,8.0,9.1
80.0,3.0,10.125,Sổ hồng,Đầy đủ,10.7954031461239,106.677540284751,Chưa xác định,Quận Phú Nhuận,Phường 15,442.1,1,Đường Nguyễn Đình Chính,19.416421624066952,0.0,0.0,80.57453064917439,9.0,11.9
56.0,4.0,5.0,Sổ hồng,Trống / Nhà thô,10.8354324270323,106.754046866907,Chưa xác định,Thành phố Thủ Đức,Phường Trường Thọ,,0,Đường Số 2,,,,,9.0,7.35
103.0,5.0,5.0,Sổ hồng,Đầy đủ,10.8590406866448,106.756435906335,Chưa xác định,Thành phố Thủ Đức,Phường Linh Tây,,1,Đường Số 8,,,,,14.0,14.0
60.0,5.0,6.0,Sổ hồng,Trống / Nhà thô,10.8146063699949,106.689729273479,Hẻm ô tô,Quận Gò Vấp,Phường 3,111.1,0,Đường Lê Quang Định,6.336633663366337,0.0,0.0,93.61836183618362,10.0,8.5
61.0,3.0,6.0,Sổ hồng,Trống / Nhà thô,10.7848588402824,106.641943424893,Mặt tiền,Quận Tân Bình,Phường 14,13875.5,0,Đường Âu Cơ,24.15812042809268,75.84202371085728,0.0,0.0,6.0,9.5
88.0,4.0,14.2,Sổ hồng,Trống / Nhà thô,10.7668274566362,106.677968092183,Mặt tiền,Quận 10,Phường 1,121.8,1,Đường Lý Thái Tổ,19.228243021346472,0.0,0.0,80.7799671592775,16.0,21.0
224.0,4.0,6.8,không có,Trống / Nhà thô,10.386200554383231,106.9196651525138,Mặt tiền,Huyện Cần Giờ,Xã Long Hòa,,0,Unknown,,,,,8.0,22.4
54.0,5.0,5.0,Sổ hồng,Cơ bản,10.781350920849,106.653430020694,Hẻm ô tô,Quận Tân Bình,Phường 8,71.3,0,Đường Thành Mỹ,1.3744740532959328,0.0,0.0,98.62552594670406,8.0,9.9
42.0,2.0,3.8333333333333335,Sổ hồng,Đầy đủ,10.7630102648361,106.687051313809,Hẻm ô tô,Quận 1,Phường Nguyễn Cư Trinh,566.7,1,Đường Nguyễn Trãi,24.79089465325569,75.07852479265925,0.0,0.12352214575613196,4.0,10.0
100.0,3.0,12.666666666666668,Sổ hồng,Đầy đủ,10.7547858437414,106.680418564974,Chưa xác định,Quận 5,Phường 2,94.1,1,Đường Trần Hưng Đạo,0.0,0.0,0.0,99.96811902231669,8.0,14.8
28.0,2.0,4.0,Sổ hồng,Cơ bản,10.7660286111774,106.642453381891,Chưa xác định,Quận 11,Phường 3,55.3,1,Đường Lạc Long Quân,0.0,0.0,0.0,100.0,4.0,3.95
61.0,4.0,3.0,Sổ hồng,Đầy đủ,10.7056205342032,106.741172985071,Hẻm xe máy,Quận 7,Phường Phú Mỹ,16804.5,0,Đường Chuyên Dùng 9,18.505876402154186,2.9978279627480733,0.0,78.49605760361807,9.0,7.45
139.0,2.0,14.0,Sổ hồng,Đầy đủ,10.8739263042032,106.767648162645,Mặt tiền,Thành phố Thủ Đức,Phường Linh Xuân,,0,Đường Số 4,,,,,9.0,8.4
100.0,3.0,8.7,Sổ hồng,Trống / Nhà thô,10.7913067757418,106.661918961629,Mặt tiền,Quận Tân Bình,Phường 5,750.6,1,Đường Phạm Văn Hai,99.77351452171595,0.0,0.0,0.2278177458033573,13.0,17.0
160.0,1.0,30.0,không có,Trống / Nhà thô,10.8442699101949,106.783506530268,Mặt tiền,Quận 9,Phường Hiệp Phú,,0,Đường Lê Văn Việt,,,,,2.0,27.5
160.0,4.0,8.0,Sổ hồng,Đầy đủ,10.7922600141732,106.643267598668,Hẻm ô tô,Quận Tân Bình,Phường 14,71.7,0,Đường Bàu Cát,2.426778242677824,0.0,0.0,97.58716875871687,12.0,19.5
119.0,5.0,12.0,Sổ hồng,Đầy đủ,10.772299,106.78784,Mặt tiền,Quận 2,Phường Cát Lái,,0,Đường Nguyễn Thị Định,,,,,16.0,12.5
80.0,4.0,7.0,Sổ hồng,Đầy đủ,10.7938582942555,106.680636979479,Hẻm ô tô,Quận Phú Nhuận,Phường 17,687.3,0,Đường Huỳnh Văn Bánh,92.73243125272808,0.0,0.0,7.261748872399243,11.0,13.9
