Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Đường_Từ_Địa_Chỉ,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Khoảng giá
60.0,3.0,5.5,10.8523804305877,106.671781032801,0.0,11.098013468022373,15.923197269929185,3278.6,1,0,1,0,0,1,15.50660834230355,40.38309034343928,52.9408894040139,6.676935277252485,0.0,8.0,9.07674271231227,0.0,0.0,0.0,1.0,0.0,5.9
32.0,2.0,6.0,10.6928461538267,106.74058246812,3.0,8.131668552257471,7.431275025157785,51.9,0,0,0,0,0,0,8.354727166160457,4.720616570327554,0.0,0.0,95.27938342967246,4.0,10.202913173751613,0.0,0.0,0.0,1.0,0.0,1.98
90.0,4.0,12.277777777777777,10.7908495092333,106.692414369092,3.0,53.75818181817839,34.07029975082686,69.9,0,1,0,0,1,1,24.1142258297563,0.0,0.0,0.0,99.9856938483548,10.0,1.904348411572935,0.0,0.0,0.0,1.0,0.0,25.7
182.0,2.0,15.0,10.6927113529124,106.741219845115,3.0,8.131668552257471,7.431275025157785,707.9,0,0,0,0,0,0,8.354727166160457,13.446814521825118,0.0,0.0,86.55883599378443,5.0,10.246092916171383,0.0,0.0,1.0,0.0,0.0,19.8
112.0,1.0,6.8,10.7513219432165,106.72867556842,0.0,17.789285714285825,15.717993526044307,979.3,0,0,0,0,0,1,8.354727166160457,97.0295108751149,0.0,0.0,2.970489124885122,11.0,4.074799193663042,0.0,0.0,0.0,1.0,0.0,6.5
64.0,5.0,30.0,10.7982786609842,106.688667315324,3.0,18.63592086332186,15.288713651298618,,0,0,0,0,0,0,17.184474827935027,,,,,9.0,2.8250862063537507,0.0,0.0,1.0,0.0,0.0,38.0
78.0,3.0,4.0,10.7979637701662,106.704708810862,2.0,18.827244701348747,15.081788755498186,11203.2,1,0,1,0,0,0,19.911470140858842,85.561000428449,12.784740074264494,1.6542594972864897,0.0,8.0,2.4738672812864215,1.0,0.0,0.0,1.0,0.0,14.0
40.0,2.0,8.0,10.764653867162,106.616330924929,0.0,10.737500000006847,8.135783941420566,1912.0,0,0,0,0,0,0,20.25050569105691,68.26464435146443,0.0,1.4843096234309625,30.252092050209207,5.0,9.34539809758362,0.0,0.0,0.0,0.0,1.0,5.44
62.0,3.0,11.2,10.8054785461,106.681994055038,0.0,18.63592086332186,15.149860937399001,72.3,1,0,0,0,0,1,12.77062601913981,21.53526970954357,0.0,0.0,78.40940525587828,10.0,3.885823481311066,0.0,0.0,0.0,1.0,0.0,8.6
80.0,5.0,12.0,10.7310382071678,106.73211068743,0.0,17.789285714285825,8.648767860862735,382.9,1,1,0,0,1,0,20.25050569105691,17.92112823191434,0.0,0.0,82.08409506398539,9.0,6.039170830527929,0.0,0.0,0.0,0.0,1.0,21.8
