,Khoảng giá
613,9.8
3944,5.19
2346,6.9
2098,15.5
3277,15.7
5677,31.5
505,7.3
1902,18.0
272,5.9
5589,9.5
3946,2.65
1872,13.0
2252,7.0
5522,9.6
1867,15.0
106,16.9
2579,9.3
1360,8.36
2732,7.99
952,6.5
1383,13.5
1983,8.5
1370,9.0
2264,5.4
5607,9.99
4868,5.35
4738,7.9
1024,3.99
2094,13.9
2268,7.1
416,5.68
1535,29.0
6042,4.35
2522,5.4
564,11.0
478,13.5
4585,11.0
1203,16.9
4229,7.5
142,6.98
3328,95.0
3871,21.0
5319,8.5
3475,7.6
605,8.6
1194,7.2
1322,24.0
2225,37.0
1721,8.25
497,7.7
3616,23.0
2609,120.0
5881,120.0
2799,7.9
2655,12.9
721,87.0
5842,38.0
1025,8.65
2833,7.65
1295,12.0
2523,8.16
2045,2.8
2942,29.5
1354,14.5
2133,12.5
2457,32.0
5072,9.9
1302,5.8
2034,7.2
5631,5.9
2464,80.0
2945,8.6
2182,29.0
1978,6.9
336,7.75
5518,7.1
2245,7.8
5886,50.0
5001,6.6
5411,9.0
4040,39.0
2751,9.5
6018,9.5
3341,13.6
724,10.0
765,9.5
286,8.3
3270,9.1
307,4.2
3221,14.6
2436,12.2
4896,6.5
5297,6.2
4410,6.0
5707,17.0
3290,7.9
4370,12.95
4414,23.5
5339,2.89
2259,6.4
71,15.5
4596,11.5
711,160.0
421,16.9
1020,10.8
1695,14.8
3532,8.2
2570,5.9
737,14.0
2600,11.3
2345,8.0
5525,100.0
3479,4.98
5846,11.5
1835,50.0
4498,25.0
1210,6.85
3768,160.0
1095,8.4
3767,10.5
2328,36.0
3275,16.5
2770,5.3
4939,27.0
978,18.0
4461,99.0
1412,3.45
5362,8.5
3904,9.7
3016,3.9
5545,8.6
344,16.7
2451,5.2
911,7.3
2584,25.5
47,5.85
2644,8.5
5455,18.7
1350,22.9
443,9.69
2414,15.3
1061,14.5
3481,9.7
5700,7.5
5671,15.5
2417,34.0
3893,41.0
2549,5.5
2741,12.5
2807,28.5
4320,8.5
1055,3.33
848,4.3
2988,5.5
3703,5.9
1294,10.0
3803,4.89
5288,8.8
6027,8.5
5993,6.28
4489,100.0
4667,25.0
1112,6.45
4844,29.0
776,7.5
5957,7.5
183,7.0
4291,5.0
4302,22.8
1507,4.95
3181,12.6
734,6.3
2002,5.9
5002,6.45
1168,4.65
3837,25.0
5875,33.0
2991,4.99
4144,39.5
3109,7.88
2410,9.9
485,12.0
5820,23.0
452,18.5
4379,25.0
3126,8.9
4817,7.0
3820,23.0
30,5.3
789,4.68
4487,61.0
2927,35.0
1554,43.0
2873,5.99
1509,7.25
1109,9.6
100,11.95
5094,8.0
4450,27.0
3519,7.2
1443,9.45
