Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Duong,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
60.0,3.0,5.5,2.0,0.0,10.8523804305877,106.671781032801,11.098013468192365,15.922894100217071,3278.6,1,0,1,0,0,1,12.24568480724662,40.38309034343928,52.9408894040139,0.0,8.0,9.07674271231227,1.9315214116032136
32.0,2.0,6.0,2.0,0.0,10.6928461538267,106.74058246812,8.13167257069548,7.42361482511043,51.9,0,0,0,0,0,0,8.354716452845052,4.720616570327554,0.0,95.27938342967246,4.0,10.202913173751613,1.091923300517313
90.0,4.0,12.277777777777777,2.0,0.0,10.7908495092333,106.692414369092,53.75818181811302,34.078087611623104,69.9,0,1,0,0,1,1,29.858974972234577,0.0,0.0,99.9856938483548,10.0,1.904348411572935,3.2846635654062037
182.0,2.0,15.0,2.0,1.0,10.6927113529124,106.741219845115,8.13167257069548,7.42361482511043,707.9,0,0,0,0,0,0,8.354716452845052,13.446814521825118,0.0,86.55883599378443,5.0,10.246092916171383,3.0349529867072724
112.0,1.0,6.8,2.0,0.0,10.7513219432165,106.72867556842,17.789285714287892,14.156201430091995,979.3,0,0,0,0,0,1,8.354716452845052,97.0295108751149,0.0,2.970489124885122,11.0,4.074799193663042,2.0149030205422647
64.0,5.0,30.0,2.0,1.0,10.7982786609842,106.688667315324,18.635920863560628,15.287451678785835,,0,0,0,0,0,0,14.80404288147512,,,,9.0,2.8250862063537507,3.6635616461296463
78.0,3.0,4.0,1.0,0.0,10.7979637701662,106.704708810862,18.827244701348747,14.822692208439314,11203.2,1,0,1,0,0,0,19.765923501006156,85.561000428449,12.784740074264494,0.0,8.0,2.4738672812864215,2.70805020110221
40.0,2.0,8.0,2.0,2.0,10.764653867162,106.616330924929,10.737500000137535,7.657431272695933,1912.0,0,0,0,0,0,0,14.540481503939734,68.26464435146443,0.0,30.252092050209207,5.0,9.34539809758362,1.8625285401162623
62.0,3.0,11.2,2.0,0.0,10.8054785461,106.681994055038,18.635920863560628,15.14978969354972,72.3,1,0,0,0,0,1,11.471099772673012,21.53526970954357,0.0,78.40940525587828,10.0,3.885823481311066,2.26176309847379
80.0,5.0,12.0,2.0,2.0,10.7310382071678,106.73211068743,17.789285714287892,8.631667515460695,382.9,1,1,0,0,1,0,19.623831705707644,17.92112823191434,0.0,82.08409506398539,9.0,6.039170830527929,3.126760535960395
80.0,1.0,4.0,2.0,0.0,10.8412042601513,106.725455430172,15.481076923082806,14.38454090192419,,0,0,0,0,0,0,14.25435834230355,,,,3.0,7.722983427871126,1.8946168546677629
57.0,5.0,20.0,2.0,1.0,10.8121234207638,106.692319317232,18.827244701348747,16.92478578683119,136.8,1,1,1,1,1,0,27.352816121584368,14.020467836257309,0.0,85.97222222222221,22.0,4.129657010137629,2.3978952727983707
40.0,2.0,3.0,2.0,2.0,10.731909678911,106.731655441563,17.789285714287892,34.80192728411123,955.6,0,1,1,0,1,0,8.354716452845052,82.13059857681039,0.0,17.868354960234406,4.0,5.931064270531051,1.7732559976634952
